classifier,ulevel,dataset,distance,cmp,acc,train_duration,test_duration
GNB,0.4,ECG200,ed,simple_cmp,0.81,622.64,21.1
GNB,0.4,TwoLeadECG,ed,simple_cmp,0.7445127304653204,637.41,1011.16
GNB,0.4,ECGFiveDays,ed,simple_cmp,0.9128919860627178,654.46,1428.98
GNB,0.4,ItalyPowerDemand,ed,simple_cmp,0.9193391642371236,626.6,370.03
GNB,0.4,SonyAIBORobotSurface2,ed,simple_cmp,0.8090241343126967,622.76,531.21
GNB,0.4,SonyAIBORobotSurface1,ed,simple_cmp,0.8851913477537438,616.87,353.4
GNB,0.4,Plane,ed,simple_cmp,0.9047619047619048,628.67,32.43
GNB,0.4,Trace,ed,simple_cmp,0.7,621.26,28.61
GNB,0.4,SmoothSubspace,ed,simple_cmp,0.4733333333333333,619.47,19.96
GNB,0.4,BME,ed,simple_cmp,0.6066666666666667,650.94,237.44
GNB,0.4,CBF,ed,simple_cmp,0.8666666666666667,651.08,1113.14
GNB,0.4,UMD,ed,simple_cmp,0.8958333333333334,641.12,150.72
GNB,0.4,SyntheticControl,ed,simple_cmp,0.91,629.44,25.25
GNB,0.4,ShapeletSim,ed,simple_cmp,0.8666666666666667,650.5,395.83
GNB,0.4,Chinatown,ed,simple_cmp,0.9737609329446064,603.54,42.63
GNB,0.4,ECG200,fots,simple_cmp,0.63,7716.78,755.59
GNB,0.4,TwoLeadECG,fots,simple_cmp,0.7848990342405618,7736.87,8422.25
GNB,0.4,ECGFiveDays,fots,simple_cmp,0.7932636469221835,7659.01,7225.45
GNB,0.4,ItalyPowerDemand,fots,simple_cmp,0.7278911564625851,7627.34,4171.92
GNB,0.4,SonyAIBORobotSurface2,fots,simple_cmp,0.6988457502623295,7856.04,8351.31
GNB,0.4,SonyAIBORobotSurface1,fots,simple_cmp,0.6638935108153078,7674.95,6634.38
GNB,0.4,Plane,fots,simple_cmp,0.3619047619047619,8214.85,1138.58
GNB,0.4,Trace,fots,simple_cmp,0.56,7105.56,1018.46
GNB,0.4,SmoothSubspace,fots,simple_cmp,0.4933333333333333,7395.28,203.02
GNB,0.4,BME,fots,simple_cmp,0.4266666666666667,7916.09,2503.37
GNB,0.4,CBF,fots,simple_cmp,0.5655555555555556,7886.59,5863.18
GNB,0.4,UMD,fots,simple_cmp,0.3541666666666667,7937.67,2208.75
GNB,0.4,SyntheticControl,fots,simple_cmp,0.41,7816.84,803.22
GNB,0.4,ShapeletSim,fots,simple_cmp,0.5,9674.32,7057.42
GNB,0.4,Chinatown,fots,simple_cmp,0.8483965014577259,7316.57,1678.83
GNB,0.4,ECG200,hbd,simple_cmp,0.75,623.98,26.29
GNB,0.4,TwoLeadECG,hbd,simple_cmp,0.8068481123792801,644.73,1141.46
GNB,0.4,ECGFiveDays,hbd,simple_cmp,0.8141695702671312,671.1,1239.24
GNB,0.4,ItalyPowerDemand,hbd,simple_cmp,0.8940719144800777,633.1,390.02
GNB,0.4,SonyAIBORobotSurface2,hbd,simple_cmp,0.8069254984260231,637.99,690.5
GNB,0.4,SonyAIBORobotSurface1,hbd,simple_cmp,0.7603993344425957,629.22,573.25
GNB,0.4,Plane,hbd,simple_cmp,0.9047619047619048,619.41,24.17
GNB,0.4,Trace,hbd,simple_cmp,0.75,627.01,43.66
GNB,0.4,SmoothSubspace,hbd,simple_cmp,0.68,620.79,20.62
GNB,0.4,BME,hbd,simple_cmp,0.6,647.82,234.72
GNB,0.4,CBF,hbd,simple_cmp,0.9455555555555556,655.86,791.46
GNB,0.4,UMD,hbd,simple_cmp,0.6805555555555556,662.93,216.31
GNB,0.4,SyntheticControl,hbd,simple_cmp,0.6466666666666666,626.16,27.79
GNB,0.4,ShapeletSim,hbd,simple_cmp,0.7833333333333333,666.73,433.28
GNB,0.4,Chinatown,hbd,simple_cmp,0.9650145772594751,604.59,46.63
GNB,0.4,ECG200,jsd,simple_cmp,0.59,62761.22,18.81
GNB,0.4,TwoLeadECG,jsd,simple_cmp,0.5390693590869183,62729.35,1681.71
GNB,0.4,ECGFiveDays,jsd,simple_cmp,0.6004645760743321,62725.66,1890.59
GNB,0.4,ItalyPowerDemand,jsd,simple_cmp,0.6637512147716229,62714.47,71.11
GNB,0.4,SonyAIBORobotSurface2,jsd,simple_cmp,0.70199370409234,639.24,1028.53
GNB,0.4,SonyAIBORobotSurface1,jsd,simple_cmp,0.5391014975041597,621.15,455.26
GNB,0.4,Plane,jsd,simple_cmp,0.3238095238095238,627.98,31.31
GNB,0.4,Trace,jsd,simple_cmp,0.61,652.64,56.74
GNB,0.4,SmoothSubspace,jsd,simple_cmp,0.42,627.49,27.63
GNB,0.4,BME,jsd,simple_cmp,0.34,671.81,347.09
GNB,0.4,CBF,jsd,simple_cmp,0.7488888888888889,660.02,1255.5
GNB,0.4,UMD,jsd,simple_cmp,0.4097222222222222,672.49,277.7
GNB,0.4,SyntheticControl,jsd,simple_cmp,0.4233333333333333,624.79,26.3
GNB,0.4,ShapeletSim,jsd,simple_cmp,0.4666666666666667,644.51,359.7
GNB,0.4,Chinatown,jsd,simple_cmp,0.9212827988338192,606.48,96.04
GNB,0.6,ECG200,ued,simple_cmp,0.8,620.79,20.09
GNB,0.6,TwoLeadECG,ued,simple_cmp,0.6014047410008779,652.07,1356.23
GNB,0.6,ECGFiveDays,ued,simple_cmp,0.6736353077816493,672.07,1663.28
GNB,0.6,ItalyPowerDemand,ued,simple_cmp,0.892128279883382,628.8,339.23
GNB,0.6,SonyAIBORobotSurface2,ued,simple_cmp,0.7901364113326338,629.8,656.26
GNB,0.6,SonyAIBORobotSurface1,ued,simple_cmp,0.8119800332778702,619.43,434.41
GNB,0.6,Plane,ued,simple_cmp,0.9333333333333332,623.49,24.29
GNB,0.6,Trace,ued,simple_cmp,0.82,621.93,38.03
GNB,0.6,SmoothSubspace,ued,simple_cmp,0.5533333333333333,618.5,23.83
GNB,0.6,BME,ued,simple_cmp,0.6933333333333334,646.53,248.58
GNB,0.6,CBF,ued,simple_cmp,0.8233333333333334,666.49,1079.18
GNB,0.6,UMD,ued,simple_cmp,0.8472222222222222,640.28,173.78
